Serial Number	Date_IV	Obs#	Port#	Observation Length	Exp_Flux	Exp_R2	Lin_Flux	Lin_R2	Tcham_IV	V1_IV	V2_IV	V3_IV	V4_IV	
81A-1652	2020-05-01 14:54:26	1	1	02:00					15.4727	2.5	-0.517409	9.709	0.0735909	
81A-1652	2020-05-01 14:57:57	2	2	02:00	1.930000	0.9976	1.210	0.9903	16.04	2.8	-0.528	12.743	0.053	
81A-1652	2020-05-01 15:01:29	3	3	02:00	0.700000	0.9571	0.700	0.9571	16.25	2.8	-0.531	42.04	0.046	
81A-1652	2020-05-01 15:05:04	4	4	02:00	1.020000	0.9969	0.910	0.9963	16.39	2.6	-0.532	14.044	0.045	
81A-1652	2020-05-01 15:08:36	5	1	02:00	1.110000	0.9964	0.930	0.9955	15.87	2.5	-0.532	9.714	0.044	
81A-1652	2020-05-01 15:12:05	6	2	02:00	1.050000	0.9972	0.970	0.9970	16.22	2.8	-0.533	12.749	0.043	
81A-1652	2020-05-01 15:15:35	7	3	02:00	0.530000	0.9755	0.530	0.9755	16.88	2.8	-0.533	42.945	0.043	
81A-1652	2020-05-01 15:19:09	8	4	02:00	0.970000	0.9956	0.970	0.9956	17.08	2.6	-0.533	14.064	0.043	
81A-1652	2020-05-01 15:22:45	9	1	02:00	1.290000	0.9800	1.290	0.9800	13.85	2.5	-0.533	9.758	0.042	
81A-1652	2020-05-01 15:26:18	10	2	02:00	1.470000	0.9978	1.130	0.9964	17	2.765	-0.533	12.795	0.043	
81A-1652	2020-05-01 15:29:49	11	3	02:00	0.620000	0.9526	0.250	0.9185	17.17	2.8	-0.534	42.954	0.041	
81A-1652	2020-05-01 15:33:19	12	4	02:00	1.520000	0.9950	1.150	0.9903	17.9	2.6	-0.534	14.107	0.041	
81A-1652	2020-05-01 15:36:51	13	1	02:00	0.940000	0.9963	0.830	0.9957	15.49	2.5	-0.534	9.803	0.04	
81A-1652	2020-05-01 15:40:20	14	2	02:00	1.610000	0.9977	1.260	0.9956	17.17	2.8	-0.534	12.824	0.041	
81A-1652	2020-05-01 15:43:52	15	3	02:00	0.620000	0.9918	0.620	0.9918	17.33	2.8	-0.534	42.964	0.041	
81A-1652	2020-05-01 15:47:26	16	4	02:00	0.990000	0.9959	0.990	0.9959	17.08	2.6	-0.534	14.133	0.04	
81A-1652	2020-05-01 15:51:02	17	1	02:00	0.870000	0.9949	0.870	0.9949	16.05	2.5	-0.535	9.821	0.039	
81A-1652	2020-05-01 15:54:31	18	2	02:00	1.470000	0.9980	1.190	0.9972	16.21	2.8	-0.535	12.845	0.039	
81A-1652	2020-05-01 15:58:02	19	3	02:00	0.720000	0.9143	0.760	0.9851	16.25	2.8	-0.535	43.012	0.039	
81A-1652	2020-05-01 16:01:35	20	4	02:00	0.970000	0.9967	0.970	0.9967	16.32	2.6	-0.535	14.105	0.039	
81A-1652	2020-05-01 16:05:11	21	1	02:00	1.180000	0.9958	0.920	0.9950	14.32	2.5	-0.535	9.834	0.039	
81A-1652	2020-05-01 16:08:40	22	2	02:00	1.440000	0.9985	1.260	0.9980	15.84	2.8	-0.535	12.855	0.039	
81A-1652	2020-05-01 16:12:10	23	3	02:00	0.490000	0.9217	0.250	0.8525	15.96	2.8	-0.535	43.063	0.038	
81A-1652	2020-05-01 16:15:40	24	4	02:00	1.110000	0.9967	0.970	0.9962	16.02	2.6	-0.535	14.101	0.039	
81A-1652	2020-05-01 16:19:11	25	1	02:00	1.620000	0.9973	1.030	0.9939	11.99	2.5	-0.535	9.851	0.038	
81A-1652	2020-05-01 16:22:40	26	2	02:00	1.400000	0.9973	1.230	0.9967	15.52	2.8	-0.535	12.845	0.038	
81A-1652	2020-05-01 16:26:10	27	3	02:00	0.910000	0.9344	0.200	0.8669	15.7	2.8	-0.535	43.066	0.038	
81A-1652	2020-05-01 16:29:44	28	4	02:00	0.950000	0.9971	0.950	0.9971	15.98	2.6	-0.535	14.092	0.038	
81A-1652	2020-05-01 16:33:19	29	1	02:00	1.560000	0.9949	1.180	0.9940	15.66	2.5	-0.535	9.81	0.038	
81A-1652	2020-05-01 16:36:48	30	2	02:00	1.330000	0.9971	1.150	0.9961	15.8	2.8	-0.535	12.85	0.038	
81A-1652	2020-05-01 16:40:18	31	3	02:00	0.690000	0.9738	0.460	0.9675	16.16	2.8	-0.535	43.042	0.038	
81A-1652	2020-05-01 16:43:49	32	4	02:00	1.090000	0.9963	0.990	0.9961	15.81	2.6	-0.535	14.048	0.038	
81A-1652	2020-05-01 16:47:20	33	1	02:00	2.080000	0.9972	1.250	0.9940	15.44	2.5	-0.535	9.814	0.038	
81A-1652	2020-05-01 16:50:50	34	2	02:00	1.570000	0.9978	1.240	0.9958	15.53	2.8	-0.535	12.83	0.038	
81A-1652	2020-05-01 16:54:21	35	3	02:00	1.020000	0.4686	0.090	0.2210	15.61	2.8	-0.535	43.067	0.038	
81A-1652	2020-05-01 16:57:53	36	4	02:00	1.140000	0.9978	0.990	0.9970	15.97	2.6	-0.536	14.031	0.037	
81A-1652	2020-05-01 17:01:25	37	1	02:00	1.840000	0.9985	1.400	0.9969	15.22	2.5	-0.535	9.786	0.038	
81A-1652	2020-05-01 17:04:55	38	2	02:00	1.420000	0.9981	1.220	0.9975	15.81	2.8	-0.535	12.83	0.038	
81A-1652	2020-05-01 17:08:24	39	3	02:00	0.700000	0.9917	0.500	0.9826	16.25	2.8	-0.535	43.102	0.038	
81A-1652	2020-05-01 17:11:58	40	4	02:00	1.030000	0.9965	1.030	0.9965	16	2.6	-0.536	14.003	0.037	
81A-1652	2020-05-01 17:15:34	41	1	02:00	1.500000	0.9990	1.400	0.9988	13.99	2.5	-0.536	9.781	0.037	
81A-1652	2020-05-01 17:19:03	42	2	02:00	1.340000	0.9974	1.060	0.9954	15.89	2.8	-0.536	12.822	0.037	
81A-1652	2020-05-01 17:22:34	43	3	02:00	0.680000	0.9844	0.670	0.9844	16.2	2.8	-0.536	43.063	0.037	
81A-1652	2020-05-01 17:26:04	44	4	02:00	1.310000	0.9978	1.140	0.9971	16.11	2.6	-0.536	13.97	0.037	
81A-1652	2020-05-01 17:29:36	45	1	02:00	1.950000	0.9985	1.570	0.9976	12.93	2.5	-0.536	9.772	0.037	
81A-1652	2020-05-01 17:33:06	46	2	02:00	1.450000	0.9969	1.110	0.9948	15.65	2.8	-0.536	12.807	0.037	
81A-1652	2020-05-01 17:36:36	47	3	02:00	0.420000	0.9455	0.280	0.9221	15.88	2.8	-0.536	43.036	0.037	
81A-1652	2020-05-01 17:40:07	48	4	02:00	1.180000	0.9925	1.180	0.9925	16.06	2.6	-0.536	13.956	0.037	
81A-1652	2020-05-01 17:43:43	49	1	02:00	2.160000	0.9982	1.720	0.9974	12.29	2.5	-0.536	9.76	0.037	
81A-1652	2020-05-01 17:47:13	50	2	02:00	1.430000	0.9963	1.140	0.9948	15.75	2.8	-0.536	12.784	0.037	
81A-1652	2020-05-01 17:50:43	51	3	02:00	0.700000	0.9729	0.400	0.9598	15.9	2.8	-0.535	42.723	0.038	
81A-1652	2020-05-01 17:54:14	52	4	02:00	1.140000	0.9981	1.080	0.9981	15.97	2.6	-0.535	13.894	0.038	
81A-1652	2020-05-01 17:57:46	53	1	02:00	2.700000	0.9987	1.920	0.9970	11.95	2.564	-0.536	9.736	0.037	
81A-1652	2020-05-01 18:01:17	54	2	02:00	1.730000	0.9977	1.230	0.9959	15.31	2.8	-0.536	12.786	0.036	
81A-1652	2020-05-01 18:04:47	55	3	02:00	-0.190000	0.5952	-0.190	0.5952	15.28	2.8	-0.536	41.793	0.037	
81A-1652	2020-05-01 18:08:20	56	4	02:00	1.180000	0.9971	1.090	0.9969	15.67	2.6	-0.536	13.881	0.037	
81A-1652	2020-05-01 18:11:52	57	1	02:00	2.580000	0.9989	1.990	0.9975	11.91	2.527	-0.536	9.723	0.037	
81A-1652	2020-05-01 18:15:22	58	2	02:00	1.560000	0.9982	1.280	0.9968	15.63	2.8	-0.536	12.757	0.037	
81A-1652	2020-05-01 18:18:51	59	3	02:00	0.540000	0.9754	0.430	0.9745	15.51	2.8	-0.536	40.185	0.037	
81A-1652	2020-05-01 18:22:21	60	4	02:00	1.130000	0.9977	1.130	0.9977	15.25	2.6	-0.536	13.851	0.037	
81A-1652	2020-05-01 18:25:57	61	1	02:00	2.620000	0.9991	2.070	0.9983	14.07	2.545	-0.536	9.699	0.037	
81A-1652	2020-05-01 18:29:27	62	2	02:00	1.770000	0.9983	1.350	0.9962	15.16	2.8	-0.536	12.724	0.037	
81A-1652	2020-05-01 18:32:59	63	3	02:00	1.610000	0.1901	-0.010	0.0027	14.99	2.8	-0.536	41.476	0.037	
81A-1652	2020-05-01 18:36:32	64	4	02:00	1.100000	0.9968	1.100	0.9968	15.14	2.6	-0.536	13.807	0.037	
81A-1652	2020-05-01 18:40:08	65	1	02:00	2.880000	0.9992	2.080	0.9976	14.11	2.509	-0.536	9.679	0.037	
81A-1652	2020-05-01 18:43:39	66	2	02:00	1.770000	0.9978	1.360	0.9954	14.82	2.8	-0.536	12.701	0.037	
81A-1652	2020-05-01 18:47:11	67	3	02:00	0.820000	0.9899	0.630	0.9856	15.07	2.8	-0.536	41.054	0.037	
81A-1652	2020-05-01 18:50:42	68	4	02:00	1.250000	0.9977	1.110	0.9972	14.95	2.6	-0.536	13.779	0.037	
81A-1652	2020-05-01 18:54:14	69	1	02:00	2.610000	0.9990	2.120	0.9983	13.36	2.54	-0.536	9.655	0.037	
81A-1652	2020-05-01 18:57:44	70	2	02:00	1.320000	0.9977	1.230	0.9976	14.77	2.8	-0.536	12.689	0.037	
81A-1652	2020-05-01 19:01:13	71	3	02:00	0.880000	0.8242	0.180	0.7411	14.71	2.8	-0.536	40.534	0.037	
81A-1652	2020-05-01 19:04:46	72	4	02:00	1.140000	0.9966	1.080	0.9965	14.81	2.607	-0.535	13.731	0.037	
81A-1652	2020-05-01 19:08:18	73	1	02:00	3.060000	0.9991	2.190	0.9974	13.68	2.549	-0.536	9.623	0.037	
81A-1652	2020-05-01 19:11:48	74	2	02:00	1.790000	0.9984	1.350	0.9961	14.41	2.8	-0.536	12.644	0.037	
81A-1652	2020-05-01 19:15:21	75	3	02:00	1.080000	0.9939	0.760	0.9854	14.71	2.8	-0.536	40.823	0.037	
81A-1652	2020-05-01 19:18:55	76	4	02:00	1.110000	0.9968	1.110	0.9968	14.41	2.6	-0.535	13.695	0.038	
81A-1652	2020-05-01 19:22:31	77	1	02:00	3.380000	0.9994	2.370	0.9973	12.26	2.58	-0.536	9.598	0.037	
81A-1652	2020-05-01 19:26:00	78	2	02:00	1.740000	0.9977	1.340	0.9964	14.15	2.8	-0.536	12.624	0.037	
81A-1652	2020-05-01 19:29:30	79	3	02:00	0.540000	0.9652	0.370	0.9528	14.67	2.8	-0.536	41.107	0.037	
81A-1652	2020-05-01 19:33:02	80	4	02:00	1.080000	0.9974	1.040	0.9973	14.68	2.607	-0.535	13.65	0.038	
81A-1652	2020-05-01 19:36:34	81	1	02:00	3.110000	0.9994	2.300	0.9978	12.13	2.509	-0.536	9.576	0.037	
81A-1652	2020-05-01 19:40:04	82	2	02:00	1.590000	0.9981	1.300	0.9959	13.99	2.8	-0.535	12.571	0.038	
81A-1652	2020-05-01 19:43:35	83	3	02:00	0.600000	0.9748	0.350	0.9654	14.03	2.8	-0.536	41.313	0.037	
81A-1652	2020-05-01 19:47:06	84	4	02:00	1.350000	0.9974	1.150	0.9967	14	2.625	-0.535	13.596	0.037	
81A-1652	2020-05-01 19:50:38	85	1	02:00	3.370000	0.9994	2.400	0.9976	12.89	2.576	-0.535	9.533	0.038	
81A-1652	2020-05-01 19:54:08	86	2	02:00	1.580000	0.9968	1.320	0.9955	13.83	2.8	-0.536	12.558	0.037	
81A-1652	2020-05-01 19:57:38	87	3	02:00	0.770000	0.9892	0.660	0.9877	14.08	2.8	-0.535	41.097	0.038	
81A-1652	2020-05-01 20:01:08	88	4	02:00	1.100000	0.9954	1.100	0.9954	13.91	2.6	-0.535	13.56	0.038	
81A-1652	2020-05-01 20:04:44	89	1	02:00	3.010000	0.9992	2.280	0.9978	13.48	2.538	-0.535	9.508	0.038	
81A-1652	2020-05-01 20:08:14	90	2	02:00	1.720000	0.9970	1.330	0.9955	14.13	2.8	-0.535	12.514	0.038	
81A-1652	2020-05-01 20:11:45	91	3	02:00	0.350000	0.9534	0.250	0.9451	14.11	2.8	-0.535	41.686	0.038	
81A-1652	2020-05-01 20:15:15	92	4	02:00	1.210000	0.9960	1.210	0.9960	14.09	2.662	-0.535	13.512	0.038	
